Year,CO2
1880,853.891536
1881,882.587984
1882,932.128928
1883,991.273216
1884,1002.430096
1885,1009.90832
1886,1025.729472
1887,1077.043792
1888,1192.584368
1889,1192.15568
1890,1298.855024
1891,1359.300032
1892,1370.541184
1893,1354.137456
1894,1401.373744
1895,1485.920544
1896,1534.406256
1897,1607.045056
1898,1695.109296
1899,1851.825904
1900,1953.307712
1901,2017.969984
1902,2069.09744
1903,2257.269488
1904,2281.22472
1905,2428.667744
1906,2550.865808
1907,2884.659872
1908,2775.703504
1909,2885.293744
1910,3026.016992
1911,3081.237136
1912,3226.71992
1913,3491.363312
1914,3168.0776
1915,3125.157504
1916,3372.323616
1917,3528.37704
1918,3480.686416
1919,3016.640816
1920,3507.613152
1921,3077.712368
1922,3227.26952
1923,3661.713664
1924,3673.299232
1925,3699.225696
1926,3641.9244
1927,3977.378256
1928,3991.12192
1929,4290.749184
1930,3965.451936
1931,3542.86816
1932,3196.286736
1933,3365.596512
1934,3661.548784
1935,3846.511168
1936,4223.676
1937,4522.870912
1938,4264.888672
1939,4503.12928
1940,4904.00752
1941,5024.655712
1942,5039.974896
1943,5216.282912
1944,5181.123168
1945,4333.39448
1946,4730.660016
1947,5236.563152
1948,5505.427472
1949,5244.854784
1950,5786.141168
1951,6226.396416
1952,6310.375296
1953,6486.280272
1954,6629.1836
1955,7258.204464
1956,7725.118976
1957,7964.755568
1958,8215.483088
1959,8989.176487
1960,9410.529753
1961,9452.107735
1962,9838.202053
1963,10379.06796
1964,10969.32514
1965,11466.15022
1966,12045.55587
1967,12431.00938
1968,13063.44964
1969,13846.42734
1970,14845.81498
1971,15409.71755
1972,16023.99077
1973,16893.36143
1974,16923.57871
1975,16825.64095
1976,17800.97242
1977,18355.43923
1978,18561.69885
1979,19594.22881
1980,19388.09437
1981,18787.12262
1982,18624.07569
1983,18549.44804
1984,19216.86605
1985,19792.62184
1986,20395.94953
1987,20912.41349
1988,21681.10932
1989,22154.33573
1990,22181.80737
1991,22429.37743
1992,22195.10513
1993,22153.14311
1994,22533.83297
1995,23007.42538
1996,23522.97911
1997,23915.3294
1998,23984.9839
1999,23930.56147
2000,24558.69108
2001,25137.99969
2002,25494.19056
2003,26866.73838
2004,28187.59894
2005,29254.90635
2006,30286.83639
2007,30880.1453
2008,31875.7558
2009,31523.14297
2010,33066.65121
2011,34357.36592
2012,34919.28871
2013,35207.88598
2014,35505.82704
2015,35462.74674
2016,35675.09944
2017,36153.26165
2018,36572.75422
